"Time (s) Florinda 0.02 1.5";"Light Intensity (% of scale max) Florinda 0.02 1.5";"Angle (rad) Florinda 0.02 1.5";"Time (s) Arianna 0.02 1.5";"Light Intensity (% of scale max) Arianna 0.02 1.5";"Angle (rad) Arianna 0.02 1.5";"Time (s) Antonio 0.02 1.5";"Light Intensity (% of scale max) Antonio 0.02 1.5";"Angle (rad) Antonio 0.02 1.5";"Time (s) Florinda 0.04 1.5";"Light Intensity (% of scale max) Florinda 0.04 1.5";"Angle (rad) Florinda 0.04 1.5";"Time (s) Matteo 0.04 1.5";"Light Intensity (% of scale max) Matteo 0.04 1.5";"Angle (rad) Matteo 0.04 1.5";"Time (s) Antonio 0.04 1.5";"Light Intensity (% of scale max) Antonio 0.04 1.5";"Angle (rad) Antonio 0.04 1.5";"Time (s) Arianna 0.08 1.5";"Light Intensity (% of scale max) Arianna 0.08 1.5";"Angle (rad) Arianna 0.08 1.5";"Time (s) Florinda 0.08 1.5";"Light Intensity (% of scale max) Florinda 0.08 1.5";"Angle (rad) Florinda 0.08 1.5";"Time (s) Matteo 0.08 1.5";"Light Intensity (% of scale max) Matteo 0.08 1.5";"Angle (rad) Matteo 0.08 1.5";"Time (s) Florinda 0.02 1.0 candela";"Light Intensity (% of scale max) Florinda 0.02 1.0 candela";"Angle (rad) Florinda 0.02 1.0 candela";"Time (s) Antonio 0.04 1.0 candela";"Light Intensity (% of scale max) Antonio 0.04 1.0 candela";"Angle (rad) Antonio 0.04 1.0 candela";"Time (s) Matteo 0.04 1.0";"Light Intensity (% of scale max) Matteo 0.04 1.0";"Angle (rad) Matteo 0.04 1.0";"Time (s) Arianna 0.08 1.0";"Light Intensity (% of scale max) Arianna 0.08 1.0";"Angle (rad) Arianna 0.08 1.0";"Time (s) Antonio 0.08 0.5";"Light Intensity (% of scale max) Antonio 0.08 0.5";"Angle (rad) Antonio 0.08 0.5";"Time (s) Florinda 0.04 0.5";"Light Intensity (% of scale max) Florinda 0.04 0.5";"Angle (rad) Florinda 0.04 0.5";"Time (s) Laser rumore costante sole";"Light Intensity (% of scale max) Laser rumore costante sole";"Angle (rad) Laser rumore costante sole";"Time (s) Corrente di buio t candela";"Light Intensity (% of scale max) Corrente di buio t candela";"Angle (rad) Corrente di buio t candela";"Time (s) Corrente di buio t lampadina";"Light Intensity (% of scale max) Corrente di buio t lampadina";"Angle (rad) Corrente di buio t lampadina";"Time (s) Rumore t lampadina";"Light Intensity (% of scale max) Rumore t lampadina";"Angle (rad) Rumore t lampadina";"Time (s) Rumore t candela";"Light Intensity (% of scale max) Rumore t candela";"Angle (rad) Rumore t candela";"Time (s) Rumore s lampadina";"Light Intensity (% of scale max) Rumore s lampadina";"Angle (rad) Rumore s lampadina";"Time (s) VAntonio 0.02 1.5";"Light Intensity (% of scale max) VAntonio 0.02 1.5";"Angle (rad) VAntonio 0.02 1.5"
68,000;0,65831;-8,96140;;;;68,000;0,05055;-5,04069;68,000;0,12828;-9,92901;68,000;0,07852;-4,85534;68,000;0,06296;-12,24122;68,000;0,04131;-10,78195;68,000;0,04086;-3,46832;68,000;14,26355;-7,87441;68,000;18,28796;-6,40100;68,000;3,55798;-10,00127;68,000;0,07445;-6,71359;68,000;0,04501;-10,21961;68,000;0,04408;-10,16306;68,000;0,07031;-9,92273;68,000;32,48212;0,00000;;;;68,000;0,03001;0,00000;68,000;0,06387;-0,00157;;;;68,000;0,09401;-5,57790;68,000;0,08788;-11,55164
68,050;0,65672;-8,96101;;;;68,050;0,05196;-4,99396;68,050;0,12848;-9,92901;68,050;0,07851;-4,86005;68,050;0,06305;-12,24122;68,050;0,04134;-10,78195;68,050;0,04120;-3,48285;68,050;14,25583;-7,87441;68,050;17,69264;-6,40728;68,050;3,37749;-10,00991;68,050;0,07906;-6,72144;68,050;0,04492;-10,21961;68,050;0,03505;-10,14028;68,050;0,06911;-9,93883;68,050;32,47878;0,00000;;;;68,050;0,03027;0,00000;68,050;0,06407;-0,00157;;;;68,050;0,09436;-5,62542;68,050;0,08330;-11,57638
68,100;0,65022;-8,95983;;;;68,100;0,05214;-4,92209;68,100;0,12851;-9,92901;68,100;0,07797;-4,87104;68,100;0,06306;-12,24122;68,100;0,04128;-10,78195;68,100;0,04250;-3,50131;68,100;14,28644;-7,87441;68,100;17,19669;-6,41435;68,100;3,17628;-10,02326;68,100;0,08383;-6,72851;68,100;0,04459;-10,21961;68,100;0,03551;-10,13793;68,100;0,06699;-9,95571;68,100;32,48195;0,00000;;;;68,100;0,03023;0,00000;68,100;0,06392;-0,00157;;;;68,100;0,09428;-5,68550;68,100;0,08002;-11,59249
68,150;0,65031;-8,95865;;;;68,150;0,05191;-4,90560;68,150;0,12837;-9,92901;68,150;0,07755;-4,87733;68,150;0,06308;-12,24122;68,150;0,04150;-10,78195;68,150;0,04330;-3,52094;68,150;14,28107;-7,87441;68,150;17,71458;-6,42260;68,150;3,19051;-10,03661;68,150;0,09439;-6,73794;68,150;0,04434;-10,21961;68,150;0,03520;-10,13793;68,150;0,06522;-9,96907;68,150;32,47726;0,00000;;;;68,150;0,03026;0,00000;68,150;0,06393;-0,00157;;;;68,150;0,09389;-5,72791;68,150;0,07925;-11,59563
68,200;0,65698;-8,95512;;;;68,200;0,05219;-4,90560;68,200;0,12839;-9,92901;68,200;0,07706;-4,87733;68,200;0,06334;-12,24122;68,200;0,04129;-10,78195;68,200;0,04449;-3,54215;68,200;14,26801;-7,87441;68,200;18,25670;-6,43399;68,200;3,00732;-10,04054;68,200;0,10403;-6,75129;68,200;0,04477;-10,21961;68,200;0,03557;-10,13793;68,200;0,06226;-9,97771;68,200;32,47868;0,00000;;;;68,200;0,03041;0,00000;68,200;0,06371;-0,00157;;;;68,200;0,09377;-5,76954;68,200;0,07919;-11,59563
68,250;0,75551;-8,92841;;;;68,250;0,05185;-4,90560;68,250;0,12860;-9,92901;68,250;0,07806;-4,87144;68,250;0,06340;-12,24122;68,250;0,04140;-10,78195;68,250;0,04604;-3,56335;68,250;14,33490;-7,87480;68,250;18,48318;-6,44066;68,250;2,79951;-10,03857;68,250;0,10945;-6,75914;68,250;0,04474;-10,21961;68,250;0,03592;-10,13793;68,250;0,06078;-9,99027;68,250;32,47876;0,00000;;;;68,250;0,03012;0,00000;68,250;0,06380;-0,00157;;;;68,250;0,09369;-5,81588;68,250;0,07881;-11,59759
68,300;0,86595;-8,86558;;;;68,300;0,05190;-4,90560;68,300;0,12839;-9,92980;68,300;0,08215;-4,85769;68,300;0,06317;-12,24122;68,300;0,04109;-10,78195;68,300;0,04803;-3,57592;68,300;14,26709;-7,87833;68,300;19,36794;-6,45205;68,300;2,54759;-10,02404;68,300;0,11790;-6,76542;68,300;0,04459;-10,21961;68,300;0,03609;-10,13871;68,300;0,05832;-10,00441;68,300;32,47458;0,00000;;;;68,300;0,03027;0,00000;68,300;0,06390;-0,00157;;;;68,300;0,09315;-5,84808;68,300;0,07819;-11,59955
68,350;0,98164;-8,79568;;;;68,350;0,05185;-4,91620;68,350;0,12849;-9,93176;68,350;0,08305;-4,85691;68,350;0,06346;-12,24122;68,350;0,04126;-10,77960;68,350;0,04898;-3,58849;68,350;14,17937;-7,88305;68,350;20,19803;-6,46226;68,350;2,51273;-10,01540;68,350;0,12291;-6,77053;68,350;0,04475;-10,21843;68,350;0,03615;-10,13950;68,350;0,05594;-10,01972;68,350;32,48665;0,00000;;;;68,350;0,03055;0,00000;68,350;0,06335;-0,00157;;;;68,350;0,09341;-5,87792;68,350;0,07787;-11,60034
68,400;1,03725;-8,75563;;;;68,400;0,05165;-4,92131;68,400;0,12846;-9,93215;68,400;0,08246;-4,85691;68,400;0,06355;-12,24751;68,400;0,04062;-10,77881;68,400;0,04959;-3,60027;68,400;13,86674;-7,89012;68,400;20,62561;-6,46540;68,400;2,33859;-10,01540;68,400;0,13234;-6,77956;68,400;0,04485;-10,21804;68,400;0,03627;-10,13950;68,400;0,04950;-10,04054;68,400;32,47214;0,00000;;;;68,400;0,03030;0,00000;68,400;0,06340;-0,00157;;;;68,400;0,09369;-5,89992;68,400;0,07787;-11,60034
68,450;1,06288;-8,74699;;;;68,450;0,05167;-4,92131;68,450;0,12831;-9,93215;68,450;0,08272;-4,85691;68,450;0,06334;-12,25497;68,450;0,04102;-10,77567;68,450;0,05009;-3,61126;68,450;13,69907;-7,89876;68,450;20,88351;-6,47208;68,450;2,30360;-10,01383;68,450;0,14258;-6,78859;68,450;0,04488;-10,21568;68,450;0,03905;-10,16070;68,450;0,04617;-10,05978;68,450;32,47832;0,00000;;;;68,450;0,03041;0,00000;68,450;0,06342;-0,00157;;;;68,450;0,09372;-5,89874;68,450;0,07776;-11,60034
68,500;1,07887;-8,73206;;;;68,500;0,05183;-4,92131;68,500;0,12856;-9,93608;68,500;0,08363;-4,85691;68,500;0,06316;-12,26479;68,500;0,04230;-10,76782;68,500;0,05084;-3,61676;68,500;13,70866;-7,90190;68,500;22,49805;-6,48818;68,500;2,24936;-10,01383;68,500;0,15520;-6,79448;68,500;0,04617;-10,21175;68,500;0,03882;-10,18112;68,500;0,04344;-10,07667;68,500;32,46992;0,00000;;;;68,500;0,03076;0,00000;68,500;0,06303;-0,00157;;;;68,500;0,09348;-5,87557;68,500;0,07785;-11,60112
68,550;1,08893;-8,71832;;;;68,550;0,05182;-4,92131;68,550;0,12766;-9,96003;68,550;0,08272;-4,85691;68,550;0,06349;-12,26871;68,550;0,04356;-10,75407;68,550;0,05084;-3,61755;68,550;13,66428;-7,90504;68,550;23,16684;-6,50310;68,550;2,50438;-10,01383;68,550;0,15952;-6,79920;68,550;0,04607;-10,20429;68,550;0,03728;-10,20154;68,550;0,04071;-10,09591;68,550;32,48026;0,00000;;;;68,550;0,03064;0,00000;68,550;0,06319;-0,00157;;;;68,550;0,09338;-5,85593;68,550;0,07755;-11,60191
68,600;1,10638;-8,70379;;;;68,600;0,05138;-4,92131;68,600;0,12718;-9,98242;68,600;0,08128;-4,86319;68,600;0,06361;-12,27578;68,600;0,05084;-10,73483;68,600;0,05058;-3,60969;68,600;13,52095;-7,91525;68,600;23,75008;-6,51724;68,600;2,41757;-10,01383;68,600;0,16527;-6,80469;68,600;0,04366;-10,19133;68,600;0,03568;-10,21804;68,600;0,03502;-10,12065;68,600;32,48517;0,00000;;;;68,600;0,03081;0,00000;68,600;0,06236;-0,00157;;;;68,600;0,09323;-5,85593;68,600;0,07739;-11,60191
68,650;1,11646;-8,66766;;;;68,650;0,05176;-4,92131;68,650;0,12698;-9,98556;68,650;0,07860;-4,89382;68,650;0,06433;-12,30641;68,650;0,05519;-10,71834;68,650;0,05098;-3,60773;68,650;13,33223;-7,92232;68,650;25,94907;-6,53923;68,650;2,27744;-10,01462;68,650;0,17807;-6,81530;68,650;0,04291;-10,17248;68,650;0,03117;-10,24553;68,650;0,03273;-10,14342;68,650;32,47244;0,00000;;;;68,650;0,03090;0,00000;68,650;0,06215;-0,00157;;;;68,650;0,09317;-5,85593;68,650;0,07697;-11,59249
68,700;1,11949;-8,62682;;;;68,700;0,05180;-4,92131;68,700;0,12695;-9,98556;68,700;0,07747;-4,91424;68,700;0,06615;-12,33233;68,700;0,06134;-10,69792;68,700;0,05226;-3,60655;68,700;13,27032;-7,92939;68,700;27,02843;-6,55886;68,700;2,26158;-10,01776;68,700;0,19110;-6,81962;68,700;0,04326;-10,14735;68,700;0,03027;-10,26830;68,700;0,03151;-10,16149;68,700;32,47711;0,00000;;;;68,700;0,03047;0,00000;68,700;0,06219;-0,00157;;;;68,700;0,09309;-5,85593;68,700;0,07512;-11,57364
68,750;1,11502;-8,59894;;;;68,750;0,05156;-4,92013;68,750;0,12665;-9,99145;68,750;0,07629;-4,93230;68,750;0,06570;-12,37474;68,750;0,06795;-10,67514;68,750;0,05251;-3,60655;68,750;13,11394;-7,93763;68,750;27,70042;-6,56436;68,750;2,41353;-10,01855;68,750;0,19064;-6,82040;68,750;0,04639;-10,11868;68,750;0,03011;-10,27930;68,750;0,03061;-10,17484;68,750;32,47682;0,00000;;;;68,750;0,03065;0,00000;68,750;0,06201;-0,00157;;;;68,750;0,09282;-5,85593;68,750;0,07507;-11,57364
68,800;1,11050;-8,57813;;;;68,800;0,05173;-4,91817;68,800;0,12617;-9,99656;68,800;0,07541;-4,94958;68,800;0,06360;-12,40773;68,800;0,08800;-10,65001;68,800;0,05223;-3,60655;68,800;13,11545;-7,93881;68,800;27,80167;-6,56436;68,800;2,49831;-10,03583;68,800;0,18993;-6,82040;68,800;0,05927;-10,09080;68,800;0,02994;-10,29501;68,800;0,02934;-10,18662;68,800;32,47600;0,00000;;;;68,800;0,03073;0,00000;68,800;0,06212;-0,00157;;;;68,800;0,09258;-5,85593;68,800;0,07507;-11,57364
68,850;1,11089;-8,58205;;;;68,850;0,05185;-4,91149;68,850;0,12604;-9,99813;68,850;0,07510;-4,97000;68,850;0,06227;-12,42147;68,850;0,09998;-10,62762;68,850;0,05214;-3,60655;68,850;13,11519;-7,94274;68,850;27,83797;-6,56161;68,850;2,59015;-10,06017;68,850;0,18968;-6,82001;68,850;0,06763;-10,06567;68,850;0,02991;-10,30914;68,850;0,02954;-10,18584;68,850;32,48444;0,00000;;;;68,850;0,03084;0,00000;68,850;0,06204;-0,00157;;;;68,850;0,09283;-5,86497;68,850;0,07495;-11,57207
68,900;1,11067;-8,59383;;;;68,900;0,05157;-4,89932;68,900;0,12541;-10,00048;68,900;0,07529;-4,97864;68,900;0,05888;-12,43679;68,900;0,11217;-10,60367;68,900;0,05214;-3,60655;68,900;12,95451;-7,94824;68,900;28,49953;-6,55651;68,900;2,40808;-10,08373;68,900;0,19745;-6,81805;68,900;0,07661;-10,04289;68,900;0,03018;-10,31857;68,900;0,02907;-10,18034;68,900;32,47679;0,00000;;;;68,900;0,03088;0,00000;68,900;0,06206;-0,00157;;;;68,900;0,09348;-5,89913;68,900;0,07491;-11,57207
68,950;1,11032;-8,59383;;;;68,950;0,05148;-4,86240;68,950;0,12354;-10,01109;68,950;0,07484;-4,99317;68,950;0,05632;-12,45564;68,950;0,12288;-10,58207;68,950;0,05225;-3,61126;68,950;12,88487;-7,95491;68,950;28,56210;-6,55494;68,950;2,15457;-10,11437;68,950;0,19780;-6,81726;68,950;0,08472;-10,02247;68,950;0,03056;-10,33035;68,950;0,02861;-10,17013;68,950;32,47156;0,00000;;;;68,950;0,03108;0,00000;68,950;0,06184;-0,00157;;;;68,950;0,09354;-5,96393;68,950;0,07515;-11,57207
69,000;1,11086;-8,59383;;;;69,000;0,05174;-4,79093;69,000;0,12083;-10,02326;69,000;0,07486;-5,00142;69,000;0,05397;-12,47999;69,000;0,14102;-10,56204;69,000;0,05237;-3,61755;69,000;12,61722;-7,96551;69,000;28,46802;-6,55494;69,000;2,04468;-10,13793;69,000;0,20653;-6,81098;69,000;0,09917;-10,00598;69,000;0,03105;-10,34213;69,000;0,02773;-10,15992;69,000;32,48373;0,00000;;;;69,000;0,03128;0,00000;69,000;0,06212;-0,00157;;;;69,000;0,09389;-6,05700;69,000;0,07510;-11,57207
69,050;1,11032;-8,59187;;;;69,050;0,05211;-4,76541;69,050;0,11852;-10,03386;69,050;0,07520;-5,00692;69,050;0,05141;-12,51494;69,050;0,14694;-10,54594;69,050;0,05286;-3,63561;69,050;12,47560;-7,97376;69,050;28,49417;-6,55494;69,050;1,86580;-10,14853;69,050;0,21376;-6,81098;69,050;0,10481;-9,98831;69,050;0,03323;-10,36216;69,050;0,02773;-10,15992;69,050;32,47528;0,00000;;;;69,050;0,03123;0,00000;69,050;0,06223;-0,00157;;;;69,050;0,09386;-6,09823;69,050;0,07512;-11,57246
69,100;1,11162;-8,58755;;;;69,100;0,05209;-4,74538;69,100;0,11169;-10,05153;69,100;0,07513;-5,01948;69,100;0,04950;-12,53889;69,100;0,15158;-10,52906;69,100;0,05353;-3,65682;69,100;12,42859;-7,97572;69,100;28,52019;-6,55494;69,100;1,60880;-10,16149;69,100;0,21344;-6,81098;69,100;0,11061;-9,97064;69,100;0,03365;-10,37276;69,100;0,02763;-10,15992;69,100;32,47847;0,00000;;;;69,100;0,03073;0,00000;69,100;0,06250;-0,00157;;;;69,100;0,09389;-6,15046;69,100;0,07458;-11,57364
69,150;1,11363;-8,57852;;;;69,150;0,05336;-4,70886;69,150;0,10532;-10,07745;69,150;0,07510;-5,03558;69,150;0,04904;-12,55931;69,150;0,15550;-10,51570;69,150;0,05457;-3,68038;69,150;12,31532;-7,98240;69,150;28,48491;-6,55494;69,150;1,51215;-10,17327;69,150;0,21307;-6,81098;69,150;0,11841;-9,95414;69,150;0,03410;-10,37512;69,150;0,02769;-10,15992;69,150;32,47716;0,00000;;;;69,150;0,03134;0,00000;69,150;0,06244;-0,00157;;;;69,150;0,09381;-6,20858;69,150;0,07466;-11,57481
69,200;1,09529;-8,54671;;;;69,200;0,05664;-4,67626;69,200;0,10022;-10,09866;69,200;0,07513;-5,03755;69,200;0,04858;-12,57423;69,200;0,15573;-10,49921;69,200;0,05518;-3,70394;69,200;12,13449;-7,99065;69,200;28,50955;-6,55494;69,200;1,73094;-10,18191;69,200;0,21370;-6,81098;69,200;0,12120;-9,94001;69,200;0,03410;-10,37512;69,200;0,02757;-10,15992;69,200;32,47731;0,00000;;;;69,200;0,03111;0,00000;69,200;0,06241;-0,00157;;;;69,200;0,09326;-6,26748;69,200;0,07463;-11,58777
69,250;1,08160;-8,50351;;;;69,250;0,05807;-4,65270;69,250;0,09593;-10,11594;69,250;0,07504;-5,03755;69,250;0,04846;-12,59033;69,250;0,15265;-10,47879;69,250;0,05498;-3,72907;69,250;12,01718;-7,99340;69,250;28,51207;-6,55494;69,250;1,56682;-10,19016;69,250;0,21529;-6,81098;69,250;0,12343;-9,92351;69,250;0,03442;-10,37433;69,250;0,02779;-10,15992;69,250;32,47552;0,00000;;;;69,250;0,03108;0,00000;69,250;0,06261;-0,00157;;;;69,250;0,09326;-6,32482;69,250;0,07535;-11,60073
69,300;1,07639;-8,49095;;;;69,300;0,05980;-4,63071;69,300;0,08566;-10,13479;69,300;0,07500;-5,03441;69,300;0,04790;-12,60801;69,300;0,14207;-10,44502;69,300;0,05479;-3,76127;69,300;11,93741;-8,00007;69,300;28,46364;-6,55494;69,300;1,45795;-10,19683;69,300;0,21683;-6,81098;69,300;0,12440;-9,91330;69,300;0,03607;-10,36019;69,300;0,02782;-10,15992;69,300;32,47176;0,00000;;;;69,300;0,03122;0,00000;69,300;0,06267;-0,00157;;;;69,300;0,09300;-6,37351;69,300;0,07549;-11,60348
69,350;1,06898;-8,48309;;;;69,350;0,06183;-4,60047;69,350;0,07886;-10,15953;69,350;0,08072;-5,02302;69,350;0,04749;-12,63039;69,350;0,12480;-10,42656;69,350;0,05472;-3,79348;69,350;11,52150;-8,00910;69,350;28,55011;-6,55494;69,350;1,68130;-10,19880;69,350;0,21698;-6,81098;69,350;0,12509;-9,90663;69,350;0,04182;-10,34488;69,350;0,02762;-10,15992;69,350;32,47322;0,00000;;;;69,350;0,03142;0,00000;69,350;0,06259;-0,00157;;;;69,350;0,09320;-6,41278;69,350;0,07523;-11,61212
69,400;1,05457;-8,44775;;;;69,400;0,06679;-4,56317;69,400;0,07269;-10,18348;69,400;0,08089;-5,02027;69,400;0,04695;-12,64963;69,400;0,12364;-10,42067;69,400;0,05461;-3,81704;69,400;11,32022;-8,01735;69,400;28,49219;-6,55494;69,400;1,67365;-10,20233;69,400;0,21664;-6,81098;69,400;0,12521;-9,89760;69,400;0,04300;-10,34370;69,400;0,02769;-10,15992;69,400;32,47179;0,00000;;;;69,400;0,03125;0,00000;69,400;0,06239;-0,00157;;;;69,400;0,09296;-6,42927;69,400;0,07452;-11,62704
69,450;1,05069;-8,44186;;;;69,450;0,06801;-4,52782;69,450;0,06821;-10,19290;69,450;0,08118;-5,02027;69,450;0,04655;-12,66966;69,450;0,12323;-10,42106;69,450;0,05415;-3,83589;69,450;11,12346;-8,02638;69,450;28,38652;-6,55494;69,450;1,51781;-10,20233;69,450;0,21609;-6,81098;69,450;0,12547;-9,88464;69,450;0,04123;-10,34370;69,450;0,02776;-10,15992;69,450;32,47600;0,00000;;;;69,450;0,03142;0,00000;69,450;0,06265;-0,00157;;;;69,450;0,09294;-6,42927;69,450;0,07462;-11,65885
69,500;1,04141;-8,42890;;;;69,500;0,06781;-4,50348;69,500;0,06699;-10,19290;69,500;0,08109;-5,02027;69,500;0,04504;-12,69047;69,500;0,12334;-10,42381;69,500;0,05447;-3,84767;69,500;10,90750;-8,03149;69,500;28,45430;-6,55494;69,500;1,43733;-10,20233;69,500;0,21579;-6,81255;69,500;0,12523;-9,86854;69,500;0,04056;-10,34370;69,500;0,02800;-10,15992;69,500;32,46973;0,00000;;;;69,500;0,03157;0,00000;69,500;0,06293;-0,00157;;;;69,500;0,09312;-6,41671;69,500;0,07588;-11,66631
69,550;1,02750;-8,38649;;;;69,550;0,06752;-4,47913;69,550;0,06534;-10,18701;69,550;0,08109;-5,02027;69,550;0,04510;-12,70186;69,550;0,12321;-10,42538;69,550;0,05444;-3,85002;69,550;10,83499;-8,03424;69,550;28,42444;-6,55494;69,550;1,70396;-10,19644;69,550;0,20671;-6,81765;69,550;0,12390;-9,85715;69,550;0,04071;-10,34370;69,550;0,02791;-10,15992;69,550;32,47400;0,00000;;;;69,550;0,03172;0,00000;69,550;0,06316;-0,00157;;;;69,550;0,09245;-6,40179;69,550;0,07666;-11,67377
69,600;1,01753;-8,33308;;;;69,600;0,06419;-4,44693;69,600;0,05695;-10,17406;69,600;0,08096;-5,02027;69,600;0,04427;-12,71718;69,600;0,12325;-10,42695;69,600;0,05467;-3,84060;69,600;10,69788;-8,03777;69,600;28,30164;-6,55494;69,600;1,65187;-10,17406;69,600;0,20534;-6,82040;69,600;0,12306;-9,85047;69,600;0,04056;-10,34370;69,600;0,02812;-10,15992;69,600;32,47313;0,00000;;;;69,600;0,03163;0,00000;69,600;0,06329;-0,00157;;;;69,600;0,09280;-6,40100;69,600;0,07796;-11,68830
69,650;1,00282;-8,28713;;;;69,650;0,06258;-4,42651;69,650;0,05554;-10,17406;69,650;0,08116;-5,02302;69,650;0,04414;-12,73014;69,650;0,12338;-10,42695;69,650;0,05467;-3,84060;69,650;10,65526;-8,04131;69,650;28,18077;-6,55651;69,650;1,61906;-10,17406;69,650;0,20442;-6,82276;69,650;0,12239;-9,84105;69,650;0,04044;-10,34370;69,650;0,02802;-10,16070;69,650;32,47363;0,00000;;;;69,650;0,03157;0,00000;69,650;0,06335;-0,00157;;;;69,650;0,09271;-6,40100;69,650;0,08345;-11,70912
69,700;1,00192;-8,27025;;;;69,700;0,06076;-4,40137;69,700;0,05540;-10,17406;69,700;0,08006;-5,03126;69,700;0,04326;-12,74624;69,700;0,12323;-10,42695;69,700;0,05458;-3,84060;69,700;10,50780;-8,04327;69,700;27,97537;-6,55651;69,700;1,55814;-10,17406;69,700;0,20209;-6,82590;69,700;0,12090;-9,83555;69,700;0,04016;-10,34449;69,700;0,02818;-10,16306;69,700;32,47702;0,00000;;;;69,700;0,03168;0,00000;69,700;0,06360;-0,00157;;;;69,700;0,09238;-6,40100;69,700;0,08609;-11,72679
69,750;1,00212;-8,26868;;;;69,750;0,05898;-4,37860;69,750;0,05537;-10,17406;69,750;0,07933;-5,04187;69,750;0,04333;-12,75998;69,750;0,12317;-10,42695;69,750;0,05463;-3,84060;69,750;10,36458;-8,04759;69,750;27,88225;-6,55769;69,750;1,74359;-10,17406;69,750;0,20157;-6,82669;69,750;0,12117;-9,83594;69,750;0,03969;-10,34527;69,750;0,02800;-10,16659;69,750;32,47310;0,00000;;;;69,750;0,03154;0,00000;69,750;0,06325;-0,00157;;;;69,750;0,09213;-6,40100;69,750;0,08772;-11,74210
69,800;1,00281;-8,26868;;;;69,800;0,05719;-4,36210;69,800;0,05531;-10,17406;69,800;0,07823;-5,05797;69,800;0,04317;-12,76744;69,800;0,12375;-10,42695;69,800;0,05449;-3,84060;69,800;10,22406;-8,05348;69,800;27,23170;-6,55965;69,800;1,74960;-10,17406;69,800;0,20145;-6,82826;69,800;0,12120;-9,83790;69,800;0,04015;-10,34684;69,800;0,02866;-10,17877;69,800;32,47264;0,00000;;;;69,800;0,03152;0,00000;69,800;0,06348;-0,00157;;;;69,800;0,09213;-6,40100;69,800;0,08908;-11,75428
69,850;1,00307;-8,28124;;;;69,850;0,05666;-4,34483;69,850;0,05544;-10,17406;69,850;0,07703;-5,07093;69,850;0,04333;-12,78119;69,850;0,12346;-10,42735;69,850;0,05467;-3,84060;69,850;10,17723;-8,05505;69,850;27,23584;-6,56122;69,850;1,67430;-10,17406;69,850;0,20169;-6,82865;69,850;0,12144;-9,84340;69,850;0,03888;-10,34959;69,850;0,02858;-10,18780;69,850;32,47270;0,00000;;;;69,850;0,03198;0,00000;69,850;0,06274;-0,00157;;;;69,850;0,09256;-6,42456;69,850;0,08998;-11,76213
69,900;1,00334;-8,28124;;;;69,900;0,05588;-4,32598;69,900;0,05527;-10,17406;69,900;0,07651;-5,07211;69,900;0,04359;-12,81064;69,900;0,12367;-10,42852;69,900;0,05473;-3,84060;69,900;10,12836;-8,05662;69,900;27,55267;-6,57143;69,900;1,58379;-10,17563;69,900;0,20663;-6,83218;69,900;0,12154;-9,84654;69,900;0,03731;-10,36098;69,900;0,02846;-10,19212;69,900;32,47455;0,00000;;;;69,900;0,03200;0,00000;69,900;0,06270;-0,00157;;;;69,900;0,09326;-6,46226;69,900;0,09055;-11,76920
69,950;1,00380;-8,28124;;;;69,950;0,05548;-4,29888;69,950;0,05530;-10,17406;69,950;0,07600;-5,07917;69,950;0,04390;-12,82831;69,950;0,12363;-10,42852;69,950;0,05476;-3,84060;69,950;9,96371;-8,06055;69,950;29,46205;-6,58871;69,950;1,53804;-10,17720;69,950;0,21875;-6,84043;69,950;0,12173;-9,84733;69,950;0,03595;-10,36766;69,950;0,02817;-10,19408;69,950;32,47302;0,00000;;;;69,950;0,03166;0,00000;69,950;0,06264;-0,00157;;;;69,950;0,09335;-6,53530;69,950;0,09088;-11,77627
70,000;1,00352;-8,28124;;;;70,000;0,05537;-4,27100;70,000;0,05539;-10,17563;70,000;0,07632;-5,10509;70,000;0,04387;-12,83499;70,000;0,12473;-10,42695;70,000;0,05472;-3,84060;70,000;9,92024;-8,06133;70,000;30,76645;-6,60835;70,000;1,63095;-10,17720;70,000;0,23334;-6,85025;70,000;0,12160;-9,84733;70,000;0,03642;-10,38140;70,000;0,02811;-10,19605;70,000;32,47461;0,00000;;;;70,000;0,03197;0,00000;70,000;0,06200;-0,00157;;;;70,000;0,09334;-6,60049;70,000;0,09073;-11,79041
70,050;1,00356;-8,28085;;;;70,050;0,05519;-4,25490;70,050;0,05565;-10,17720;70,050;0,07724;-5,13022;70,050;0,04405;-12,83734;70,050;0,12541;-10,42381;70,050;0,05444;-3,83707;70,050;9,87378;-8,06722;70,050;33,02055;-6,62759;70,050;1,70015;-10,19055;70,050;0,24156;-6,85614;70,050;0,12163;-9,84733;70,050;0,03770;-10,40064;70,050;0,02806;-10,19644;70,050;32,46756;0,00000;;;;70,050;0,03183;0,00000;70,050;0,06180;-0,00157;;;;70,050;0,09328;-6,66843;70,050;0,09007;-11,80454
