"Time (s) Florinda 0.02 1.5";"Light Intensity (% of scale max) Florinda 0.02 1.5";"Angle (rad) Florinda 0.02 1.5";"Time (s) Arianna 0.02 1.5";"Light Intensity (% of scale max) Arianna 0.02 1.5";"Angle (rad) Arianna 0.02 1.5";"Time (s) Antonio 0.02 1.5";"Light Intensity (% of scale max) Antonio 0.02 1.5";"Angle (rad) Antonio 0.02 1.5";"Time (s) Florinda 0.04 1.5";"Light Intensity (% of scale max) Florinda 0.04 1.5";"Angle (rad) Florinda 0.04 1.5";"Time (s) Matteo 0.04 1.5";"Light Intensity (% of scale max) Matteo 0.04 1.5";"Angle (rad) Matteo 0.04 1.5";"Time (s) Antonio 0.04 1.5";"Light Intensity (% of scale max) Antonio 0.04 1.5";"Angle (rad) Antonio 0.04 1.5";"Time (s) Arianna 0.08 1.5";"Light Intensity (% of scale max) Arianna 0.08 1.5";"Angle (rad) Arianna 0.08 1.5";"Time (s) Florinda 0.08 1.5";"Light Intensity (% of scale max) Florinda 0.08 1.5";"Angle (rad) Florinda 0.08 1.5";"Time (s) Matteo 0.08 1.5";"Light Intensity (% of scale max) Matteo 0.08 1.5";"Angle (rad) Matteo 0.08 1.5";"Time (s) Florinda 0.02 1.0 candela";"Light Intensity (% of scale max) Florinda 0.02 1.0 candela";"Angle (rad) Florinda 0.02 1.0 candela";"Time (s) Antonio 0.04 1.0 candela";"Light Intensity (% of scale max) Antonio 0.04 1.0 candela";"Angle (rad) Antonio 0.04 1.0 candela";"Time (s) Matteo 0.04 1.0";"Light Intensity (% of scale max) Matteo 0.04 1.0";"Angle (rad) Matteo 0.04 1.0";"Time (s) Arianna 0.08 1.0";"Light Intensity (% of scale max) Arianna 0.08 1.0";"Angle (rad) Arianna 0.08 1.0";"Time (s) Antonio 0.08 0.5";"Light Intensity (% of scale max) Antonio 0.08 0.5";"Angle (rad) Antonio 0.08 0.5";"Time (s) Florinda 0.04 0.5";"Light Intensity (% of scale max) Florinda 0.04 0.5";"Angle (rad) Florinda 0.04 0.5";"Time (s) Laser rumore costante sole";"Light Intensity (% of scale max) Laser rumore costante sole";"Angle (rad) Laser rumore costante sole";"Time (s) Corrente di buio t candela";"Light Intensity (% of scale max) Corrente di buio t candela";"Angle (rad) Corrente di buio t candela";"Time (s) Corrente di buio t lampadina";"Light Intensity (% of scale max) Corrente di buio t lampadina";"Angle (rad) Corrente di buio t lampadina";"Time (s) Rumore t lampadina";"Light Intensity (% of scale max) Rumore t lampadina";"Angle (rad) Rumore t lampadina";"Time (s) Rumore t candela";"Light Intensity (% of scale max) Rumore t candela";"Angle (rad) Rumore t candela";"Time (s) Rumore s lampadina";"Light Intensity (% of scale max) Rumore s lampadina";"Angle (rad) Rumore s lampadina";"Time (s) VAntonio 0.02 1.5";"Light Intensity (% of scale max) VAntonio 0.02 1.5";"Angle (rad) VAntonio 0.02 1.5"
1,000;0,02997;0,00000;1,000;0,03181;0,00157;1,000;0,04359;0,00000;1,000;0,04741;0,00157;1,000;0,03252;0,00000;1,000;0,05090;0,00000;1,000;0,04333;0,01728;1,000;0,05556;-0,05812;1,000;0,04314;-0,08639;1,000;0,77248;0,00000;1,000;1,48688;0,00000;1,000;0,03548;0,00000;1,000;0,04306;-0,11781;1,000;0,02681;-0,23091;1,000;0,03065;0,00000;1,000;32,63385;0,00000;1,000;1,95424;0,00000;1,000;0,03615;0,00000;1,000;0,09218;0,00000;1,000;4,44737;0,00000;1,000;0,09088;-0,03142;1,000;0,04970;0,00000
1,050;0,03006;0,00000;1,050;0,03183;0,00157;1,050;0,04384;0,00000;1,050;0,04810;0,00157;1,050;0,03017;0,00000;1,050;0,05104;0,00000;1,050;0,04413;0,01728;1,050;0,05537;-0,06794;1,050;0,04395;-0,11113;1,050;0,76920;0,00000;1,050;1,32678;0,00000;1,050;0,03590;0,00000;1,050;0,04253;-0,13587;1,050;0,02641;-0,26350;1,050;0,03069;0,00000;1,050;32,62512;0,00000;1,050;1,94496;0,00000;1,050;0,03610;0,00000;1,050;0,09283;0,00000;1,050;4,42389;0,00000;1,050;0,09108;-0,07736;1,050;0,04985;0,00000
1,100;0,03003;0,00000;1,100;0,03180;0,00157;1,100;0,04373;0,00000;1,100;0,04848;0,00157;1,100;0,02959;0,00000;1,100;0,05124;0,00000;1,100;0,04453;0,01728;1,100;0,05531;-0,06912;1,100;0,04395;-0,12723;1,100;0,75366;0,00000;1,100;1,28908;0,00000;1,100;0,03522;0,00000;1,100;0,04207;-0,15865;1,100;0,02632;-0,28117;1,100;0,03067;0,00000;1,100;32,62328;0,00000;1,100;1,96507;0,00000;1,100;0,03610;0,00000;1,100;0,09352;0,00000;1,100;4,38083;0,00000;1,100;0,09097;-0,10996;1,100;0,04959;0,00000
1,150;0,02997;0,00000;1,150;0,03189;0,00157;1,150;0,04385;0,00000;1,150;0,04858;0,00157;1,150;0,03076;0,00000;1,150;0,05132;0,00000;1,150;0,04445;0,01374;1,150;0,05511;-0,06912;1,150;0,04422;-0,13627;1,150;0,77704;0,00000;1,150;1,14003;0,00000;1,150;0,03548;-0,00589;1,150;0,04111;-0,18850;1,150;0,02635;-0,29531;1,150;0,03116;0,00000;1,150;32,62326;0,00000;1,150;1,98734;0,00000;1,150;0,03604;0,00000;1,150;0,09502;0,00000;1,150;4,36174;0,00000;1,150;0,09096;-0,15315;1,150;0,04973;0,00000
1,200;0,03021;0,00000;1,200;0,03224;0,00157;1,200;0,04388;0,00000;1,200;0,04893;0,00157;1,200;0,03349;0,00000;1,200;0,05173;0,00000;1,200;0,04489;1,73472E-18;1,200;0,05513;-0,06912;1,200;0,04407;-0,13823;1,200;0,80472;0,00000;1,200;1,09474;0,00000;1,200;0,03531;-0,02670;1,200;0,03944;-0,22619;1,200;0,02597;-0,32358;1,200;0,03116;0,00000;1,200;32,63495;0,00000;1,200;1,96709;0,00000;1,200;0,03619;0,00000;1,200;0,09586;0,00000;1,200;4,37883;0,00000;1,200;0,09084;-0,20892;1,200;0,04985;0,00000
1,250;0,03035;0,00000;1,250;0,03227;0,00157;1,250;0,04382;0,00000;1,250;0,04942;0,00157;1,250;0,03430;0,00000;1,250;0,05190;0,00000;1,250;0,04483;-0,00785;1,250;0,05437;-0,07108;1,250;0,04437;-0,13666;1,250;0,80865;0,00000;1,250;1,27400;0,00000;1,250;0,03532;-0,02827;1,250;0,03882;-0,26311;1,250;0,02582;-0,36325;1,250;0,03125;0,00000;1,250;32,61981;0,00000;1,250;1,95477;0,00000;1,250;0,03604;0,00000;1,250;0,09674;0,00000;1,250;4,42644;0,00000;1,250;0,09064;-0,26586;1,250;0,04987;0,00000
1,300;0,03017;0,00000;1,300;0,03232;0,00157;1,300;0,04382;0,00000;1,300;0,04944;0,00157;1,300;0,03394;0,00000;1,300;0,05193;0,00000;1,300;0,04521;-0,01806;1,300;0,05481;-0,07383;1,300;0,04399;-0,13666;1,300;0,80389;0,00000;1,300;1,07349;0,00000;1,300;0,03542;-0,03299;1,300;0,03809;-0,28981;1,300;0,02545;-0,38563;1,300;0,03178;0,00000;1,300;32,64006;0,00000;1,300;1,94823;0,00000;1,300;0,03607;0,00000;1,300;0,09703;0,00000;1,300;4,41695;0,00000;1,300;0,09065;-0,32516;1,300;0,05005;0,00000
1,350;0,03027;0,00000;1,350;0,03256;0,00157;1,350;0,04361;0,00000;1,350;0,04964;0,00157;1,350;0,03198;0,00000;1,350;0,05196;0,00000;1,350;0,04553;-0,03652;1,350;0,05507;-0,07540;1,350;0,04384;-0,13666;1,350;0,79845;0,00000;1,350;1,22702;0,00000;1,350;0,03505;-0,04595;1,350;0,03757;-0,31416;1,350;0,02547;-0,38917;1,350;0,03169;0,00000;1,350;32,61006;0,00000;1,350;1,92143;0,00000;1,350;0,03603;0,00000;1,350;0,09741;0,00000;1,350;4,41588;0,00000;1,350;0,09024;-0,39741;1,350;0,05014;0,00000
1,400;0,03027;0,00000;1,400;0,03230;0,00157;1,400;0,04341;0,00000;1,400;0,04964;0,00157;1,400;0,03165;0,00000;1,400;0,05173;0,00000;1,400;0,04655;-0,05812;1,400;0,05507;-0,08325;1,400;0,04390;-0,13666;1,400;0,77525;0,00000;1,400;1,25302;0,00000;1,400;0,03496;-0,06912;1,400;0,03702;-0,34243;1,400;0,02542;-0,38799;1,400;0,03123;0,00000;1,400;32,61171;0,00000;1,400;1,93474;0,00000;1,400;0,03596;0,00000;1,400;0,09698;0,00000;1,400;4,43776;0,00000;1,400;0,09012;-0,45867;1,400;0,04994;0,00000
1,450;0,03020;0,00000;1,450;0,03229;0,00157;1,450;0,04324;0,00000;1,450;0,04971;0,00314;1,450;0,03096;0,00000;1,450;0,05170;0,00000;1,450;0,04759;-0,08207;1,450;0,05476;-0,09071;1,450;0,04359;-0,13666;1,450;0,78284;0,00000;1,450;0,99771;0,00000;1,450;0,03465;-0,08914;1,450;0,03645;-0,37974;1,450;0,02542;-0,37856;1,450;0,03159;0,00000;1,450;32,62798;0,00000;1,450;1,94737;0,00000;1,450;0,03596;0,00000;1,450;0,09648;0,00000;1,450;4,48337;0,00000;1,450;0,09000;-0,50266;1,450;0,04944;-3,92699E-4
