Time (s) Florinda 0.02 1.5	Light Intensity (% of scale max) Florinda 0.02 1.5	Position (m) Florinda 0.02 1.5	Time (s) Arianna 0.02 1.5	Light Intensity (% of scale max) Arianna 0.02 1.5	Position (m) Arianna 0.02 1.5	Time (s) Antonio 0.02 1.5	Light Intensity (% of scale max) Antonio 0.02 1.5	Position (m) Antonio 0.02 1.5	Time (s) Florinda 0.04 1.5	Light Intensity (% of scale max) Florinda 0.04 1.5	Position (m) Florinda 0.04 1.5	Time (s) Matteo 0.04 1.5	Light Intensity (% of scale max) Matteo 0.04 1.5	Position (m) Matteo 0.04 1.5	Time (s) Antonio 0.04 1.5	Light Intensity (% of scale max) Antonio 0.04 1.5	Position (m) Antonio 0.04 1.5	Time (s) Arianna 0.08 1.5	Light Intensity (% of scale max) Arianna 0.08 1.5	Position (m) Arianna 0.08 1.5	Time (s) Florinda 0.08 1.5	Light Intensity (% of scale max) Florinda 0.08 1.5	Position (m) Florinda 0.08 1.5	Time (s) Matteo 0.08 1.5	Light Intensity (% of scale max) Matteo 0.08 1.5	Position (m) Matteo 0.08 1.5	Time (s) Florinda 0.02 1.0 candela	Light Intensity (% of scale max) Florinda 0.02 1.0 candela	Position (m) Florinda 0.02 1.0 candela	Time (s) Antonio 0.04 1.0 candela	Light Intensity (% of scale max) Antonio 0.04 1.0 candela	Position (m) Antonio 0.04 1.0 candela	Time (s) Matteo 0.04 1.0	Light Intensity (% of scale max) Matteo 0.04 1.0	Position (m) Matteo 0.04 1.0	Time (s) Arianna 0.08 1.0	Light Intensity (% of scale max) Arianna 0.08 1.0	Position (m) Arianna 0.08 1.0	Time (s) Antonio 0.08 0.5	Light Intensity (% of scale max) Antonio 0.08 0.5	Position (m) Antonio 0.08 0.5	Time (s) Florinda 0.04 0.5	Light Intensity (% of scale max) Florinda 0.04 0.5	Position (m) Florinda 0.04 0.5	Time (s) Laser rumore costante sole	Light Intensity (% of scale max) Laser rumore costante sole	Position (m) Laser rumore costante sole	Time (s) Corrente di buio t candela	Light Intensity (% of scale max) Corrente di buio t candela	Position (m) Corrente di buio t candela	Time (s) Corrente di buio t lampadina	Light Intensity (% of scale max) Corrente di buio t lampadina	Position (m) Corrente di buio t lampadina	Time (s) Rumore t lampadina	Light Intensity (% of scale max) Rumore t lampadina	Position (m) Rumore t lampadina	Time (s) Rumore t candela	Light Intensity (% of scale max) Rumore t candela	Position (m) Rumore t candela	Time (s) Rumore s lampadina	Light Intensity (% of scale max) Rumore s lampadina	Position (m) Rumore s lampadina	Time (s) Antonio 2 0.02 1.5	Light Intensity (% of scale max) Antonio 2 0.02 1.5	Position (m) Antonio 2 0.02 1.5
1,000	0,0	0,0000	1,000	0,0	3,7500E-5	1,000	0,0	0,0000	1,000	0,0	3,7500E-5	1,000	0,0	0,0000	1,000	0,1	0,0000	1,000	0,0	4,1250E-4	1,000	0,1	-0,0014	1,000	0,0	-0,0021	1,000	0,8	0,0000	1,000	1,5	0,0000	1,000	0,0	0,0000	1,000	0,0	-0,0028	1,000	0,0	-0,0055	1,000	0,0	0,0000	1,000	32,6	0,0000	1,000	2,0	0,0000	1,000	0,0	0,0000	1,000	0,1	0,0000	1,000	4,4	0,0000	1,000	0,1	-7,5000E-4	1,000	0,0	0,0000
1,050	0,0	0,0000	1,050	0,0	3,7500E-5	1,050	0,0	0,0000	1,050	0,0	3,7500E-5	1,050	0,0	0,0000	1,050	0,1	0,0000	1,050	0,0	4,1250E-4	1,050	0,1	-0,0016	1,050	0,0	-0,0027	1,050	0,8	0,0000	1,050	1,3	0,0000	1,050	0,0	0,0000	1,050	0,0	-0,0032	1,050	0,0	-0,0063	1,050	0,0	0,0000	1,050	32,6	0,0000	1,050	1,9	0,0000	1,050	0,0	0,0000	1,050	0,1	0,0000	1,050	4,4	0,0000	1,050	0,1	-0,0018	1,050	0,0	0,0000
1,100	0,0	0,0000	1,100	0,0	3,7500E-5	1,100	0,0	0,0000	1,100	0,0	3,7500E-5	1,100	0,0	0,0000	1,100	0,1	0,0000	1,100	0,0	4,1250E-4	1,100	0,1	-0,0016	1,100	0,0	-0,0030	1,100	0,8	0,0000	1,100	1,3	0,0000	1,100	0,0	0,0000	1,100	0,0	-0,0038	1,100	0,0	-0,0067	1,100	0,0	0,0000	1,100	32,6	0,0000	1,100	2,0	0,0000	1,100	0,0	0,0000	1,100	0,1	0,0000	1,100	4,4	0,0000	1,100	0,1	-0,0026	1,100	0,0	0,0000
1,150	0,0	0,0000	1,150	0,0	3,7500E-5	1,150	0,0	0,0000	1,150	0,0	3,7500E-5	1,150	0,0	0,0000	1,150	0,1	0,0000	1,150	0,0	3,2812E-4	1,150	0,1	-0,0016	1,150	0,0	-0,0033	1,150	0,8	0,0000	1,150	1,1	0,0000	1,150	0,0	-1,4063E-4	1,150	0,0	-0,0045	1,150	0,0	-0,0071	1,150	0,0	0,0000	1,150	32,6	0,0000	1,150	2,0	0,0000	1,150	0,0	0,0000	1,150	0,1	0,0000	1,150	4,4	0,0000	1,150	0,1	-0,0037	1,150	0,0	0,0000
1,200	0,0	0,0000	1,200	0,0	3,7500E-5	1,200	0,0	0,0000	1,200	0,0	3,7500E-5	1,200	0,0	0,0000	1,200	0,1	0,0000	1,200	0,0	0,0000	1,200	0,1	-0,0016	1,200	0,0	-0,0033	1,200	0,8	0,0000	1,200	1,1	0,0000	1,200	0,0	-6,3750E-4	1,200	0,0	-0,0054	1,200	0,0	-0,0077	1,200	0,0	0,0000	1,200	32,6	0,0000	1,200	2,0	0,0000	1,200	0,0	0,0000	1,200	0,1	0,0000	1,200	4,4	0,0000	1,200	0,1	-0,0050	1,200	0,0	0,0000
1,250	0,0	0,0000	1,250	0,0	3,7500E-5	1,250	0,0	0,0000	1,250	0,0	3,7500E-5	1,250	0,0	0,0000	1,250	0,1	0,0000	1,250	0,0	-1,8750E-4	1,250	0,1	-0,0017	1,250	0,0	-0,0033	1,250	0,8	0,0000	1,250	1,3	0,0000	1,250	0,0	-6,7500E-4	1,250	0,0	-0,0063	1,250	0,0	-0,0087	1,250	0,0	0,0000	1,250	32,6	0,0000	1,250	2,0	0,0000	1,250	0,0	0,0000	1,250	0,1	0,0000	1,250	4,4	0,0000	1,250	0,1	-0,0063	1,250	0,0	0,0000
1,300	0,0	0,0000	1,300	0,0	3,7500E-5	1,300	0,0	0,0000	1,300	0,0	3,7500E-5	1,300	0,0	0,0000	1,300	0,1	0,0000	1,300	0,0	-4,3125E-4	1,300	0,1	-0,0018	1,300	0,0	-0,0033	1,300	0,8	0,0000	1,300	1,1	0,0000	1,300	0,0	-7,8750E-4	1,300	0,0	-0,0069	1,300	0,0	-0,0092	1,300	0,0	0,0000	1,300	32,6	0,0000	1,300	1,9	0,0000	1,300	0,0	0,0000	1,300	0,1	0,0000	1,300	4,4	0,0000	1,300	0,1	-0,0078	1,300	0,1	0,0000
1,350	0,0	0,0000	1,350	0,0	3,7500E-5	1,350	0,0	0,0000	1,350	0,0	3,7500E-5	1,350	0,0	0,0000	1,350	0,1	0,0000	1,350	0,0	-8,7187E-4	1,350	0,1	-0,0018	1,350	0,0	-0,0033	1,350	0,8	0,0000	1,350	1,2	0,0000	1,350	0,0	-0,0011	1,350	0,0	-0,0075	1,350	0,0	-0,0093	1,350	0,0	0,0000	1,350	32,6	0,0000	1,350	1,9	0,0000	1,350	0,0	0,0000	1,350	0,1	0,0000	1,350	4,4	0,0000	1,350	0,1	-0,0095	1,350	0,1	0,0000
1,400	0,0	0,0000	1,400	0,0	3,7500E-5	1,400	0,0	0,0000	1,400	0,0	3,7500E-5	1,400	0,0	0,0000	1,400	0,1	0,0000	1,400	0,0	-0,0014	1,400	0,1	-0,0020	1,400	0,0	-0,0033	1,400	0,8	0,0000	1,400	1,3	0,0000	1,400	0,0	-0,0017	1,400	0,0	-0,0082	1,400	0,0	-0,0093	1,400	0,0	0,0000	1,400	32,6	0,0000	1,400	1,9	0,0000	1,400	0,0	0,0000	1,400	0,1	0,0000	1,400	4,4	0,0000	1,400	0,1	-0,0109	1,400	0,0	0,0000
1,450	0,0	0,0000	1,450	0,0	3,7500E-5	1,450	0,0	0,0000	1,450	0,0	7,5000E-5	1,450	0,0	0,0000	1,450	0,1	0,0000	1,450	0,0	-0,0020	1,450	0,1	-0,0022	1,450	0,0	-0,0033	1,450	0,8	0,0000	1,450	1,0	0,0000	1,450	0,0	-0,0021	1,450	0,0	-0,0091	1,450	0,0	-0,0090	1,450	0,0	0,0000	1,450	32,6	0,0000	1,450	1,9	0,0000	1,450	0,0	0,0000	1,450	0,1	0,0000	1,450	4,5	0,0000	1,450	0,1	-0,0120	1,450	0,0	-9,3750E-6
