t,I,dI,a,da,y,dy
74.95,0.03265381,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
75.1,0.03308105,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
75.15,0.03312683,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
74.75,0.03239441,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
75.05,0.03253174,0.001,-12.55695522,0.0031415926535897933,-0.0590263336509846,3.945e-05
74.35,0.03329468,0.001,-12.53732025,0.0031415926535897933,-0.05877977095113389,3.945e-05
74.3,0.03448486,0.001,-12.51218749,0.0031415926535897933,-0.05846417071541689,3.945e-05
74.25,0.03544617,0.001,-12.49176712,0.0031415926535897933,-0.05820774549250339,3.945e-05
74.2,0.03674316,0.001,-12.47370295,0.0031415926535897933,-0.05798090783877839,3.945e-05
74.15,0.03820801,0.001,-12.45446068,0.0031415926535897933,-0.057739276400459214,3.945e-05
74.1,0.03945923,0.001,-12.44699939,0.0031415926535897933,-0.05764558255693571,3.945e-05
74.05,0.04000854,0.001,-12.4395381,0.0031415926535897933,-0.0575518887134122,3.945e-05
74.0,0.04107666,0.001,-12.42657902,0.0031415926535897933,-0.05738915733402229,3.945e-05
73.95,0.04205322,0.001,-12.41793964,0.0031415926535897933,-0.057280669831477796,3.945e-05
73.9,0.04269409,0.001,-12.41087105,0.0031415926535897933,-0.05719190724948571,3.945e-05
73.85,0.04360962,0.001,-12.39673387,0.0031415926535897933,-0.05701438208550151,3.945e-05
73.8,0.04373169,0.001,-12.38887988,0.0031415926535897933,-0.05691575698044661,3.945e-05
73.75,0.04377747,0.001,-12.38298939,0.0031415926535897933,-0.05684178818304879,3.945e-05
73.7,0.04420471,0.001,-12.36296172,0.0031415926535897933,-0.05659029422166671,3.945e-05
73.65,0.04452515,0.001,-12.34529025,0.0031415926535897933,-0.05636838782947311,3.945e-05
73.6,0.04423523,0.001,-12.3150524,0.0031415926535897933,-0.05598868131942099,3.945e-05
73.55,0.04402161,0.001,-12.28481455,0.0031415926535897933,-0.0556089748093689,3.945e-05
73.5,0.0448761,0.001,-12.26243068,0.0031415926535897933,-0.055327893278798404,3.945e-05
73.45,0.04510498,0.001,-12.2518278,0.0031415926535897933,-0.05519474946859691,3.945e-05
73.4,0.04592896,0.001,-12.24279572,0.0031415926535897933,-0.055081330704520995,3.945e-05
73.35,0.04808044,0.001,-12.21805565,0.0031415926535897933,-0.054770661604762114,3.945e-05
73.3,0.05445862,0.001,-12.1870324,0.0031415926535897933,-0.0543810925716471,3.945e-05
73.25,0.05628967,0.001,-12.15954345,0.0031415926535897933,-0.05403590489231479,3.945e-05
72.45,0.05934143,0.001,-12.15011866,0.0031415926535897933,-0.05391755474113431,3.945e-05
72.5,0.05923462,0.001,-12.15011866,0.0031415926535897933,-0.05391755474113431,3.945e-05
72.55,0.05911255,0.001,-12.14894056,0.0031415926535897933,-0.053902760956540105,3.945e-05
73.2,0.05729675,0.001,-12.14697707,0.0031415926535897933,-0.0538781047744563,3.945e-05
72.4,0.05981445,0.001,-12.14540627,0.0031415926535897933,-0.0538583797283307,3.945e-05
73.15,0.05763245,0.001,-12.14030118,0.0031415926535897933,-0.05379427345399561,3.945e-05
72.6,0.05683899,0.001,-12.13283989,0.0031415926535897933,-0.0537005796104721,3.945e-05
72.35,0.06091309,0.001,-12.13244719,0.0031415926535897933,-0.05369564834894079,3.945e-05
72.3,0.06124878,0.001,-12.13048369,0.0031415926535897933,-0.05367099204128371,3.945e-05
73.1,0.05523682,0.001,-12.13048369,0.0031415926535897933,-0.05367099204128371,3.945e-05
73.05,0.05429077,0.001,-12.1242005,0.0031415926535897933,-0.05359209198235439,3.945e-05
72.25,0.06204224,0.001,-12.1238078,0.0031415926535897933,-0.05358716072082299,3.945e-05
72.7,0.05451965,0.001,-12.12341511,0.0031415926535897933,-0.0535822295848649,3.945e-05
72.65,0.05448914,0.001,-12.12341511,0.0031415926535897933,-0.0535822295848649,3.945e-05
72.75,0.05435181,0.001,-12.12223701,0.0031415926535897933,-0.05356743580027061,3.945e-05
72.95,0.05458069,0.001,-12.12184431,0.0031415926535897933,-0.05356250453873919,3.945e-05
72.9,0.05448914,0.001,-12.12184431,0.0031415926535897933,-0.05356250453873919,3.945e-05
72.8,0.05467224,0.001,-12.12184431,0.0031415926535897933,-0.05356250453873919,3.945e-05
72.85,0.05441284,0.001,-12.12184431,0.0031415926535897933,-0.05356250453873919,3.945e-05
73.0,0.05451965,0.001,-12.12184431,0.0031415926535897933,-0.05356250453873919,3.945e-05
72.2,0.06262207,0.001,-12.10927793,0.0031415926535897933,-0.0534047044208807,3.945e-05
72.15,0.06304932,0.001,-12.10378014,0.0031415926535897933,-0.05333566688501419,3.945e-05
72.1,0.06340027,0.001,-12.09749695,0.0031415926535897933,-0.053256766826085,3.945e-05
72.05,0.06349182,0.001,-12.08296707,0.0031415926535897933,-0.05307431040056941,3.945e-05
72.0,0.06335449,0.001,-12.0652956,0.0031415926535897933,-0.052852404008375806,3.945e-05
