t,I,dI,a,da,y,dy
81.55,0.03611755,0.001,-12.29149044,0.0031415926535897933,-0.05567308108370399,3.945e-05
81.5,0.03619385,0.001,-12.28599265,0.0031415926535897933,-0.0556040435478375,3.945e-05
81.45,0.03599548,0.001,-12.28285105,0.0031415926535897933,-0.05556459345558619,3.945e-05
81.4,0.03599548,0.001,-12.27578246,0.0031415926535897933,-0.05547583087359419,3.945e-05
81.35,0.03611755,0.001,-12.26910657,0.0031415926535897933,-0.055391999553133495,3.945e-05
81.3,0.03630066,0.001,-12.25850369,0.0031415926535897933,-0.055258855742932,3.945e-05
80.45,0.037323,0.001,-12.2553621,0.0031415926535897933,-0.05521940577625399,3.945e-05
80.5,0.03713989,0.001,-12.2553621,0.0031415926535897933,-0.05521940577625399,3.945e-05
80.55,0.03738403,0.001,-12.254184,0.0031415926535897933,-0.0552046119916597,3.945e-05
80.4,0.03735352,0.001,-12.2537913,0.0031415926535897933,-0.055199680730128306,3.945e-05
81.25,0.03630066,0.001,-12.24907891,0.0031415926535897933,-0.05514050571732469,3.945e-05
80.35,0.03768921,0.001,-12.24750811,0.0031415926535897933,-0.05512078067119909,3.945e-05
80.3,0.03788757,0.001,-12.23965412,0.0031415926535897933,-0.05502215556614419,3.945e-05
80.6,0.03746033,0.001,-12.23965412,0.0031415926535897933,-0.05502215556614419,3.945e-05
81.2,0.03645325,0.001,-12.23651253,0.0031415926535897933,-0.054982705599466095,3.945e-05
80.25,0.03843689,0.001,-12.23297823,0.0031415926535897933,-0.0549383242456835,3.945e-05
81.15,0.03656006,0.001,-12.22748044,0.0031415926535897933,-0.054869286709816986,3.945e-05
80.2,0.03895569,0.001,-12.22708774,0.0031415926535897933,-0.05486435544828559,3.945e-05
81.0,0.03703308,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.7,0.03689575,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
